timestamp_utc,stage,mode,detail
2026-08-14T09:50:21.130793+00:00,public_ok,readonly,"{""active_futures_pairs"": 6, ""active_spot_pairs"": 205, ""authenticated"": false, ""exchange_status"": ""online"", ""mode"": ""readonly"", ""server_time"": ""2026-08-14T09:50:20+00:00""}"
2026-08-14T09:50:23.153262+00:00,shadow_scan_done,readonly,"{""errors"": 0, ""pairs_checked"": 6, ""signals"": 1}"
2026-08-14T09:56:13.730074+00:00,risk_halted,readonly,"{""active_futures_pairs"": 6, ""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""0.00"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""331.45"", ""key_ip_restricted"": false, ""key_is_subaccount"": true, ""key_permissions"": [""view access""], ""mode"": ""readonly"", ""open_orders"": 0, ""positions"": 0, ""risk_allowed"": false, ""risk_reasons"": [""absolute equity floor reached"", ""maximum lifetime loss reached"", ""high-water drawdown limit reached""], ""server_time"": ""2026-08-14T09:56:12+00:00""}"
2026-08-14T09:56:16.063716+00:00,shadow_scan_done,readonly,"{""errors"": 0, ""pairs_checked"": 6, ""signals"": 1}"
2026-08-14T11:04:06.323734+00:00,research_done,readonly,"{""book"": {""cooldown"": 0, ""decayed"": 0, ""monitored"": 7, ""validated"": 7}, ""discovered_slices"": 15, ""pairs_researched"": 30, ""server_time"": ""2026-08-14T11:03:38+00:00"", ""universe"": {""PERP"": 270, ""SPOT"": 202}, ""validated_slices"": 7}"
2026-08-14T11:04:11.374202+00:00,shadow_scan_done,shadow,"{""errors"": 12, ""pairs_checked"": 12, ""signals"": 36}"
2026-08-14T11:04:46.023135+00:00,failed,readonly,"ValrError: VALR request failed: Invalid leading whitespace, reserved character(s), or return character(s) in header value: '\n\n92b0171ae5a302a99245d2a59302334dbee80f0b663aa9d5862e64f9c267f0ed'"
2026-08-14T11:24:53.658629+00:00,failed,readonly,"AccountStateError: VALR API key has forbidden permissions: internal transfer, link bank account"
2026-08-14T11:25:29.229582+00:00,research_done,readonly,"{""book"": {""cooldown"": 0, ""decayed"": 0, ""monitored"": 7, ""validated"": 7}, ""discovered_slices"": 15, ""pairs_researched"": 30, ""server_time"": ""2026-08-14T11:25:21+00:00"", ""universe"": {""PERP"": 270, ""SPOT"": 202}, ""validated_slices"": 7}"
2026-08-14T11:25:35.665931+00:00,shadow_scan_done,shadow,"{""errors"": 12, ""pairs_checked"": 12, ""signals"": 36}"
2026-08-14T11:38:52.509542+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""332.37"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T11:38:51+00:00""}"
2026-08-14T11:39:01.303839+00:00,shadow_scan_done,readonly,"{""errors"": 12, ""pairs_checked"": 12, ""signals"": 36}"
2026-08-14T11:39:47.837118+00:00,research_done,readonly,"{""book"": {""cooldown"": 0, ""decayed"": 0, ""monitored"": 7, ""validated"": 7}, ""discovered_slices"": 15, ""frame_errors"": [{""error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""pair"": ""0GUSDC""}, {""error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""pair"": ""2ZUSDC""}, {""error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""pair"": ""AAVEUSDC""}, {""error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""pair"": ""ACEUSDC""}, {""error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""pair"": ""ADAUSDC""}, {""error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""pair"": ""AEROUSDC""}, {""error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""pair"": ""AIXBTUSDC""}, {""error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""pair"": ""ALGOUSDC""}, {""error"": """
2026-08-14T11:39:54.649630+00:00,shadow_scan_done,shadow,"{""errors"": 12, ""pairs_checked"": 12, ""signals"": 36}"
2026-08-14T12:02:41.312696+00:00,research_done,readonly,"{""book"": {""cooldown"": 0, ""decayed"": 0, ""monitored"": 16, ""validated"": 16}, ""discovered_slices"": 32, ""frame_errors"": [], ""pairs_researched"": 60, ""server_time"": ""2026-08-14T12:02:25+00:00"", ""universe"": {""PERP"": 270, ""SPOT"": 202}, ""validated_slices"": 16}"
2026-08-14T12:03:08.736325+00:00,shadow_scan_done,shadow,"{""errors"": 0, ""pairs_checked"": 24, ""signals"": 85}"
2026-08-14T12:10:25.646785+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""332.14"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T12:10:24+00:00""}"
2026-08-14T12:10:41.020919+00:00,shadow_scan_done,readonly,"{""errors"": 0, ""pairs_checked"": 24, ""signals"": 77}"
2026-08-14T12:14:26.239368+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""331.09"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T12:14:25+00:00""}"
2026-08-14T12:14:44.030316+00:00,shadow_scan_done,readonly,"{""errors"": 0, ""pairs_checked"": 24, ""signals"": 78}"
2026-08-14T12:35:11.372958+00:00,research_done,readonly,"{""book"": {""cooldown"": 2, ""decayed"": 0, ""monitored"": 64, ""validated"": 66}, ""discovered_slices"": 78, ""frame_errors"": [], ""pairs_researched"": 60, ""server_time"": ""2026-08-14T12:34:55+00:00"", ""universe"": {""PERP"": 270, ""SPOT"": 202}, ""validated_slices"": 66}"
2026-08-14T12:36:57.495171+00:00,shadow_scan_done,shadow,"{""errors"": 0, ""pairs_checked"": 24, ""signals"": 265}"
2026-08-14T13:15:59.835328+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""332.37"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T13:15:58+00:00""}"
2026-08-14T13:17:23.116893+00:00,shadow_scan_done,readonly,"{""errors"": 0, ""pairs_checked"": 24, ""signals"": 278}"
2026-08-14T13:30:24.521183+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""331.91"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T13:30:23+00:00""}"
2026-08-14T13:31:18.112131+00:00,shadow_scan_done,readonly,"{""errors"": 0, ""pairs_checked"": 24, ""signals"": 278}"
2026-08-14T13:59:03.533200+00:00,research_done,readonly,"{""book"": {""carried_kinds"": [], ""cooldown"": 2, ""decayed"": 0, ""monitored"": 65, ""validated"": 67}, ""discovered_slices"": 78, ""frame_errors"": [{""error"": ""ValueError: XYZ:BRENTOILUSDC has no Hyperliquid coin mapping and cannot be researched yet"", ""pair"": ""XYZ:BRENTOILUSDC""}, {""error"": ""ValueError: XYZ:CBRSUSDC has no Hyperliquid coin mapping and cannot be researched yet"", ""pair"": ""XYZ:CBRSUSDC""}, {""error"": ""ValueError: XYZ:CLUSDC has no Hyperliquid coin mapping and cannot be researched yet"", ""pair"": ""XYZ:CLUSDC""}, {""error"": ""ValueError: XYZ:CRCLUSDC has no Hyperliquid coin mapping and cannot be researched yet"", ""pair"": ""XYZ:CRCLUSDC""}, {""error"": ""ValueError: XYZ:CXMTUSDC has no Hyperliquid coin mapping and cannot be researched yet"", ""pair"": ""XYZ:CXMTUSDC""}, {""error"": ""ValueError: XYZ:DRAMUSDC has no Hyperliquid coin mapping and cannot be researched yet"", ""pair"": ""XYZ:DRAMUSDC""}, {""error"": ""ValueError: XYZ:EWYUSDC has no Hyperliquid coin mapping and cannot be researched yet"", ""pair"": ""XYZ:EWYU"
2026-08-14T14:00:28.875177+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""331.64"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T14:00:27+00:00""}"
2026-08-14T14:01:36.949665+00:00,shadow_scan_done,readonly,"{""errors"": 9, ""pairs_checked"": 15, ""signals"": 163}"
2026-08-14T14:30:29.008367+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""329.13"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T14:30:27+00:00""}"
2026-08-14T14:31:35.473438+00:00,shadow_scan_done,readonly,"{""errors"": 9, ""pairs_checked"": 15, ""signals"": 162}"
2026-08-14T15:00:29.121911+00:00,guardian_ok,readonly,"{""active_spot_pairs"": 205, ""authenticated"": true, ""equity_zar"": ""328.08"", ""exchange_status"": ""online"", ""exposure_slots"": 0, ""high_water_zar"": ""332.37"", ""key_ip_restricted"": false, ""key_permissions"": [""trade"", ""view access""], ""mandate_configured"": true, ""mode"": ""readonly"", ""open_orders"": 0, ""perp_positions"": 0, ""perp_state_error"": ""ValrAuthenticationError: VALR authentication rejected request with HTTP 401"", ""perps_api"": ""unavailable"", ""positions"": 0, ""risk_allowed"": true, ""risk_reasons"": [], ""server_time"": ""2026-08-14T15:00:28+00:00""}"
2026-08-14T15:01:21.311751+00:00,shadow_scan_done,readonly,"{""errors"": 9, ""pairs_checked"": 15, ""signals"": 176}"
2026-08-14T15:16:35.482022+00:00,shadow_scan_done,shadow,"{""errors"": 9, ""pairs_checked"": 15, ""paper"": {""closed"": 0, ""new_signals"": 177, ""open"": 1, ""skipped"": 0}, ""signals"": 177}"
